"covariateEffect","treatEffect","naiveTE","olsTE","rfTE","naiveSE","olsSE","rfSE","naivePower","olsPower","rfPower","accControl","accTreat","accControlRF","accTreatRF"
0,0,-0.00166852054291022,-0.00173974686568341,0.00433998362782866,0.126678566487207,0.126172202933555,0.0898362386366925,0.058,0.054,0.535,0.526291,0.526675,0.750081,0.75051
0.5,0,0.01230436119839,0.00862989713123162,0.0158986770774058,0.126947116337905,0.115839447037869,0.0770899851291829,0.042,0.049,0.414,0.669435,0.669835,0.818252,0.818295
1,0,-9.32458990558684e-05,-0.00519140147452728,-0.00646801515033942,0.127243821756484,0.100078731078992,0.0650672188982307,0.049,0.059,0.362,0.771791,0.771796,0.871599,0.871327
1.5,0,-8.42024443372624e-05,-0.00322016034574582,-0.00385370992374901,0.127432935757931,0.0873680284279283,0.057236024172395,0.054,0.046,0.334,0.83178,0.83171,0.900804,0.901152
2,0,0.00416665327826853,0.00152113293400116,0.00270983113226626,0.127541330745278,0.0781147497282393,0.0522381676059485,0.04,0.042,0.294,0.866807,0.866742,0.917954,0.91757
0,0.2,0.197988428425411,0.197632387117221,0.41746769629983,0.126995736354026,0.126491656223949,0.0909185109787242,0.353,0.364,0.83,0.526395,0.533266,0.750342,0.749697
0.5,0.2,0.165697731493937,0.16686009897384,0.252800231690269,0.127536074618677,0.116319058347788,0.0781008428766422,0.255,0.307,0.721,0.671769,0.672602,0.820177,0.818147
1,0.2,0.123531931914457,0.122675390790615,0.152208992463374,0.127755743661627,0.100577749864701,0.065580315688032,0.157,0.241,0.615,0.772612,0.773241,0.872877,0.870963
1.5,0.2,0.0954828452383368,0.094850691576431,0.112081072190177,0.127856553051478,0.0879503220589414,0.0578055848881884,0.129,0.185,0.535,0.830736,0.830579,0.901404,0.899472
2,0.2,0.0791830914317096,0.0777837498268973,0.0913239473660255,0.127822747495345,0.0782977568503489,0.0525241197985581,0.082,0.171,0.475,0.867078,0.867069,0.918477,0.916656
0,0.4,0.407223234912126,0.406555400623621,0.83909328410279,0.127976575402693,0.12747196134778,0.0938114718653086,0.892,0.886,0.994,0.52566,0.551323,0.749312,0.74966
0.5,0.4,0.338192982649874,0.336775557121208,0.501984282246779,0.128501999438981,0.117375649254347,0.0801318390366289,0.746,0.818,0.963,0.671181,0.672524,0.81981,0.812916
1,0.4,0.249708510799865,0.247008959603036,0.311682182358561,0.128491150220675,0.101293748736834,0.0667402979345544,0.503,0.687,0.913,0.772151,0.772371,0.872659,0.867371
1.5,0.4,0.193048991383771,0.191760550375217,0.229895643345628,0.128413377063401,0.0883871132726782,0.0585386596913107,0.334,0.58,0.85,0.830384,0.83072,0.901402,0.897008
2,0.4,0.152099200164992,0.15241429933144,0.176297735620072,0.128248551648295,0.0785428107488104,0.0530677884133604,0.21,0.493,0.758,0.866973,0.866985,0.91859,0.91469
0,0.6,0.60330473979323,0.603199079154503,1.17485600124998,0.12966622630014,0.12914433347735,0.098250277204559,0.994,0.994,0.999,0.526756,0.574267,0.75142,0.749754
0.5,0.6,0.506755334706509,0.507124583016512,0.752192342680516,0.130095664833284,0.119118187465951,0.0832039275607482,0.97,0.991,0.997,0.670073,0.673384,0.820332,0.806532
1,0.6,0.382216246737164,0.379635798782968,0.481944170988855,0.129579458427848,0.102238535763871,0.0681908349249946,0.835,0.964,0.995,0.771249,0.77198,0.872626,0.862318
1.5,0.6,0.293648366569435,0.289583866484552,0.347634607555077,0.129088632015641,0.0892088753903933,0.0596127993171603,0.631,0.91,0.974,0.828226,0.828051,0.900803,0.892558
2,0.6,0.230822259756345,0.229219355451161,0.268435980280223,0.1288130774749,0.0792993764114084,0.0540284013165842,0.454,0.799,0.945,0.86478,0.865047,0.917524,0.911291
0,0.8,0.811182115729232,0.811680827469528,1.49463308250132,0.132025875800086,0.131495744113876,0.103551747063524,1,1,1,0.525787,0.595366,0.748977,0.750199
0.5,0.8,0.683131199935624,0.682639267797005,1.0037449190245,0.13218856497749,0.12119645622889,0.0869929992235567,1,1,1,0.669093,0.675494,0.819752,0.799591
1,0.8,0.504274450622335,0.500507276510709,0.635311405039526,0.130890043891817,0.103642104584398,0.0703235155119248,0.976,0.999,1,0.768379,0.770017,0.870752,0.855684
1.5,0.8,0.389493078537396,0.385211181118513,0.461902375075488,0.129996376357251,0.0901504396165397,0.0610042528796546,0.871,0.994,0.999,0.826012,0.825796,0.899216,0.887726
2,0.8,0.308158178224297,0.311814073949109,0.365851412059582,0.129437691932884,0.0800284488814508,0.0551614690258554,0.657,0.964,0.995,0.862298,0.862226,0.916101,0.906892
0,1,1.01094549738504,1.01075294353338,1.75114190526649,0.135062534861946,0.134517579200802,0.109026217454368,1,1,1,0.522346,0.614161,0.748914,0.748707
0.5,1,0.849854544431697,0.849050547865521,1.24179556820919,0.13475438579502,0.123807531220519,0.0916351770090124,1,1,1,0.667221,0.678469,0.818277,0.79241
1,1,0.64188732077923,0.636730171612845,0.810361743047083,0.132597401794466,0.105433272767906,0.0729610210547581,0.998,1,1,0.764481,0.76694,0.867583,0.847649
1.5,1,0.488643649793232,0.488070305585683,0.583341289031056,0.13108876763391,0.0912179461660504,0.0627727580466261,0.966,0.999,1,0.822356,0.823304,0.897264,0.881168
2,1,0.388141693326014,0.385312112622904,0.450681020236813,0.130213894353032,0.0810060151882915,0.0564118065970982,0.836,0.998,0.999,0.858883,0.859152,0.915063,0.901945
